	Question
5737	why can't we create electricity to charge electric vehicles from the rotation of the wheels?
5738	if i placed a 15lb bowling ball in the middle of space; how big would the largest object be it's own gravitational force could attract into orbit? a marble? a grain of sand? and is there a formula to figure this out?
5739	what happens to sea life during a hurricane?
5740	why don't meadows have bushes/trees like the land that typically surrounds them?
5741	has mankind ever discovered an element in space that is not present here on earth?
5742	is a cure for tinnitus actively being worked on by anyone? and if so, what progress has been made?
5743	what is the difference between a real and virtual particle, and why does that difference matter?
5744	zeroth derivative is position. first is velocity. second is acceleration. is there anything meaningful past that if we keep deriving?
5745	is there a point/determination which a trans person is considered male or female when gender specific health/medical information is involved?
5746	do black holes ever die?
5747	why do psychedelic plants exist evolutionarily?
5748	can we communicate via quantum entanglement if particle oscillations provide a carrier frequency analogous to radio carrier frequencies?
5749	are all mental disorders cross-cultural? only some?
5750	can a computer simulation create itself inside itself?
5751	why doesn't the integral test for convergence work on negative, increasing, and continuous functions?
5752	what is the safest speed a human can be accelerated to in a mile?
5753	if we mined on the moon and brought the minerals back to earth, wouldn't it mess up our tides?
5754	how come we can create a 2d picture of ir, visible light, uv and x-ray but we can't create a 2d picture out of radio waves for example?
5755	if new horizons was 12,500 km from earth instead of pluto, and took one of those super high resolution mosaic images, what could you see?
5756	how do animals like whales not get the bends when breaching at high speeds from the depths?
5757	so far seti has not discovered any radio signals from alien civilizations. however, is there a "maximum range" for radio signals before they become indistinguishable from background noise?
5758	how does heat transfer work in a vacuum?
5759	so broadly speaking, white reflects radiation and black absorbs radiation. then why do paler people experience sun damage so much faster than darker people?
5760	why cant the enamel on teeth be replaced?
5761	why does the speed of light have anything to do with the relation between energy and mass?
5762	does fission occur inside of a star? if so, how far down the periodic table does fission occur inside of a star?
5763	can you show us, in layman's terms, why the square root of 2 is an irrational number?
5764	why are the psychological prime colors (red, blue, yellow) different from the mixing primary colors(magenta, cyan, yellow)?
5765	what does neptune look like at ground level? would everything be blue or is that just an atmospherical illusion when seen from space?
5766	is sound affected by gravity?
5767	what specifically makes us, and mammals, warm blooded? how is this heat created within the body?
5768	could we build a better venus probe with modern materials?
5769	what makes gpus so much faster at some things than cpus, what are those some things, and why not use gpus for everything?
